ts_event,close_AAPL,close_AMZN,close_MSFT,close_META,close_GOOGL,close_NVDA,close_SPY,close_GM
2021-07-15 13:00:00,149770000000,3691180000000,281730000000,14710000000,2563880000000,786230000000,435360000000,57555000000
2021-07-15 14:00:00,148190000000,3649220000000,280600000000,14600000000,2537590000000,775260000000,434780000000,57260000000
2021-07-15 15:00:00,148120000000,3638000000000,280740000000,14590000000,2540610000000,771035000000,434740000000,57410000000
2021-07-15 16:00:00,147900000000,3643000000000,281720000000,14520000000,2545120000000,766230000000,434560000000,57090000000
2021-07-15 17:00:00,147315000000,3622860000000,280360000000,14430000000,2535020000000,755400000000,432790000000,56610000000
2021-07-15 18:00:00,147990000000,3638110000000,281180000000,14480000000,2541000000000,758500000000,434200000000,56950000000
2021-07-15 19:00:00,148480000000,3632080000000,281060000000,14520000000,2540080000000,758660000000,434730000000,56950000000
2021-07-15 20:00:00,148290000000,3628800000000,280760000000,14620000000,2537420000000,756600000000,434250000000,56890000000
2021-07-15 21:00:00,148300000000,3627700000000,280900000000,14550000000,2538020000000,756760000000,434160000000,56890000000
2021-07-16 08:00:00,148350000000,3631170000000,280910000000,14540000000,2543950000000,755110000000,435000000000,57120000000
2021-07-16 09:00:00,148340000000,3635400000000,281000000000,14600000000,2548000000000,755910000000,435240000000,57170000000
2021-07-16 10:00:00,148700000000,3634000000000,281210000000,14550000000,2548000000000,756500000000,435310000000,57160000000
2021-07-16 11:00:00,148800000000,3638490000000,281580000000,14620000000,2546790000000,757370000000,435350000000,57140000000
2021-07-16 12:00:00,148860000000,3646990000000,281980000000,14630000000,2549150000000,765000000000,435840000000,57330000000
2021-07-16 13:00:00,149000000000,3612440000000,282820000000,14530000000,2535200000000,748180000000,435190000000,56750000000
2021-07-16 14:00:00,148605000000,3598790000000,281140000000,14430000000,2530660000000,743990000000,433810000000,56400000000
2021-07-16 15:00:00,147330000000,3577010000000,280360000000,14400000000,2523690000000,742160000000,433640000000,56330000000
2021-07-16 16:00:00,147700000000,3584330000000,281480000000,14390000000,2538450000000,739410000000,433690000000,56090000000
2021-07-16 17:00:00,147680000000,3583600000000,282250000000,14430000000,2538970000000,735110000000,433160000000,55770000000
2021-07-16 18:00:00,146530000000,3578790000000,281780000000,14400000000,2540170000000,728090000000,432210000000,55675000000
2021-07-16 19:00:00,146390000000,3572280000000,280760000000,14370000000,2539410000000,726390000000,431400000000,55460000000
2021-07-16 20:00:00,146160000000,3569900000000,280660000000,14470000000,2538230000000,726300000000,431340000000,55510000000
2021-07-16 21:00:00,146020000000,3572000000000,280890000000,14380000000,2538010000000,725830000000,431180000000,55400000000
