Window,layers,hidden,dropout,lr,mse,batch_size
15.0,2.0,16.0,0.3,0.001,1.925064988053991e+19,128.0
15.0,2.0,16.0,0.3,0.01,1.4618347259054651e+19,128.0
15.0,2.0,32.0,0.0,0.001,1.5741745696806287e+19,128.0
15.0,2.0,32.0,0.0,0.01,6.339908484545862e+18,128.0
15.0,2.0,32.0,0.1,0.001,1.932422563449535e+19,128.0
15.0,2.0,32.0,0.1,0.01,1.5505546266868027e+19,128.0
15.0,2.0,32.0,0.3,0.001,4.079848683866617e+19,128.0
15.0,2.0,32.0,0.3,0.01,1.6037719918561882e+19,128.0
15.0,2.0,64.0,0.0,0.001,1.5029662940050766e+19,128.0
15.0,2.0,64.0,0.0,0.01,8.981967643758574e+18,128.0
15.0,2.0,64.0,0.1,0.001,1.9840581406384062e+19,128.0
15.0,2.0,64.0,0.1,0.01,9.73611314410217e+18,128.0
15.0,2.0,64.0,0.3,0.001,2.4036146210825232e+19,128.0
15.0,2.0,64.0,0.3,0.01,1.7535471203845829e+19,128.0
15.0,3.0,8.0,0.0,0.001,1.9691525939756024e+19,128.0
15.0,3.0,8.0,0.0,0.01,7.99288095639361e+18,128.0
15.0,3.0,8.0,0.1,0.001,2.672001582720761e+19,128.0
15.0,3.0,8.0,0.1,0.01,2.0054084990216774e+19,128.0
15.0,3.0,8.0,0.3,0.001,2.3308059285856555e+19,128.0
15.0,3.0,8.0,0.3,0.01,1.3728209149253198e+19,128.0
15.0,3.0,16.0,0.0,0.001,2.210201174640324e+19,128.0
15.0,3.0,16.0,0.0,0.01,8.94325222992198e+18,128.0
15.0,3.0,16.0,0.1,0.001,2.1011783133287862e+19,128.0
15.0,3.0,16.0,0.1,0.01,1.3728723092072985e+19,128.0
15.0,3.0,16.0,0.3,0.001,4.717473225090451e+19,128.0
15.0,3.0,16.0,0.3,0.01,1.888393765351776e+19,128.0
15.0,3.0,32.0,0.0,0.001,1.9482265974008926e+19,128.0
15.0,3.0,32.0,0.0,0.01,1.792099021785424e+19,128.0
15.0,3.0,32.0,0.1,0.001,3.045619808188016e+19,128.0
15.0,3.0,32.0,0.1,0.01,1.547555210564511e+19,128.0
15.0,3.0,32.0,0.3,0.001,2.9406916746204488e+19,128.0
15.0,3.0,32.0,0.3,0.01,2.1815311520059752e+19,128.0
15.0,3.0,64.0,0.0,0.001,1.940476024696939e+19,128.0
15.0,3.0,64.0,0.0,0.01,7.477752803413766e+18,128.0
15.0,3.0,64.0,0.1,0.001,2.163231644930888e+19,128.0
15.0,3.0,64.0,0.1,0.01,1.04436527929775e+19,128.0
15.0,3.0,64.0,0.3,0.001,3.1327917223005344e+19,128.0
15.0,3.0,64.0,0.3,0.01,1.311546520756023e+19,128.0
15.0,4.0,8.0,0.0,0.001,2.453991206595876e+19,128.0
15.0,4.0,8.0,0.0,0.01,9.024178465477744e+18,128.0
15.0,4.0,8.0,0.1,0.001,3.2674850086184595e+19,128.0
15.0,4.0,8.0,0.1,0.01,2.4094577179959914e+19,128.0
15.0,4.0,8.0,0.3,0.001,2.4501198620831403e+20,128.0
15.0,4.0,8.0,0.3,0.01,1.863113990553028e+19,128.0
15.0,4.0,16.0,0.0,0.001,1.1051354191270424e+20,128.0
15.0,4.0,16.0,0.0,0.01,9.82674666394923e+18,128.0
15.0,4.0,16.0,0.1,0.001,3.0787189428319203e+19,128.0
15.0,4.0,16.0,0.1,0.01,1.999393785969312e+19,128.0
15.0,4.0,16.0,0.3,0.001,4.843895695719479e+19,128.0
15.0,4.0,16.0,0.3,0.01,2.2665211693345845e+19,128.0
15.0,4.0,32.0,0.0,0.001,1.9433778138723983e+19,128.0
15.0,4.0,32.0,0.0,0.01,8.838147739998327e+18,128.0
15.0,4.0,32.0,0.1,0.001,2.9440289727817232e+19,128.0
15.0,4.0,32.0,0.1,0.01,1.837444893603504e+19,128.0
15.0,4.0,32.0,0.3,0.001,4.988947888552591e+19,128.0
15.0,4.0,32.0,0.3,0.01,2.7347049308446945e+19,128.0
15.0,4.0,64.0,0.0,0.001,2.0384815745550414e+19,128.0
15.0,4.0,64.0,0.0,0.01,6.960924402110388e+18,128.0
15.0,4.0,64.0,0.1,0.001,2.9250053336848417e+19,128.0
15.0,4.0,64.0,0.1,0.01,1.0901593837229937e+19,128.0
15.0,4.0,64.0,0.3,0.001,2.940974064384512e+19,128.0
15.0,4.0,64.0,0.3,0.01,2.2881361337080304e+19,128.0
15.0,1.0,8.0,0.0,0.05,5.765910449911542e+18,16.0
15.0,1.0,8.0,0.1,0.05,6.425359040199161e+18,16.0
15.0,1.0,16.0,0.0,0.05,5.778003121301517e+18,16.0
